Código - Nome,Turma,Vagas,Número créditos aula teórica,Número de créditos aula prática,Número de turmas agrupadas aula teórica,Turmas teóricas agrupadas,Número de turmas agrupadas aula prática,Turmas práticas agrupadas,Número de professores,Professor,Formato,Indicação de professor,Indicação de Horário,Ambiente,Carga Didática,Vagas Efetivas,Observações
EMB5517 - Manutenção Ferroviária e Metroviária II,09604,15,2,2,1,09604,1,09604,1,Regis Kovacs Scalice,2+2,Coord. Ferroviária e Metroviária,preencher,Sala Comum,4.00,15,
EMB5526 - Introdução à Engenharia Ferroviária e Metroviária,01604,25,2,,1,01604,1,01604,1,Yesid Ernesto Asaff Mendoza,2,Coord. Ferroviária e Metroviária,Coord. Ferroviária e Metroviária,Sala Comum,2.00,25,
EMB5528 - Tração Elétrica em Sistemas Metroferroviários,08604,15,2,2,1,08604,1,08604,1,Felipe Joel Zimann,2+2,Coord. Ferroviária e Metroviária,Coord. Ferroviária e Metroviária,Sala Comum,4.00,15,
EMB5529 - Locomotivas,06604,15,2,2,1,06604,1,06604,1,Marcus Vinicius Volponi Mortean,2+2,Coord. Ferroviária e Metroviária,Coord. Ferroviária e Metroviária,Sala Comum,4.00,15,
EMB5530 - Roda e Suspensão Ferroviária,07604,15,2,2,1,07604,1,07604,1,Marcus Vinicius Volponi Mortean,2+2,Coord. Ferroviária e Metroviária,preencher,Sala Comum,4.00,15,
EMB5532 - Comunicação e Sinalização Metroferroviária,07604,15,2,2,1,07604,1,07604,1,A definir,2+2,Coord. Ferroviária e Metroviária,Coord. Ferroviária e Metroviária,Sala Comum,4.00,15,A DEFINIR
EMB5535 - Via Permanente,05604,15,2,2,1,05604,1,05604,1,Yader Alfonso Guerrero Pérez,2+2,Coord. Ferroviária e Metroviária,Coord. Ferroviária e Metroviária,Sala Comum,4.00,15,
EMB5536 - Dinâmica Ferroviária e Metroviária,06604,15,2,2,1,06604,1,06604,1,Alexandre Mikowski,2+2,Coord. Ferroviária e Metroviária,preencher,Sala Comum,4.00,15,
EMB5538 - Processos de Soldagem para Engenharia Ferroviária e Metroviária,06604,15,2,2,1,06604,1,06604,1,Tiago Vieira da Cunha,2+2,Coord. Ferroviária e Metroviária,preencher,Sala Comum + Laboratório Específico,4.00,15,
EMB5054 - Relações Interpessoais nas Organizações,06601G,25,2,,1,,1,,1,Vanessa Aparecida Alves de Lima,2,Coord. BCT,preencher,Sala Comum,2.00,25,
